id_bien;id_commune;numero_voie;btq;type_voie;voie;code_postal;surface_carrez;surface_reelle_bati;nombre_pieces_principales;code_type_local
17811;69385;8;B;RUE;DES AQUEDUCS;69005;72.96;73;3;2
17812;69388;2;;RUE;PIERRE SONNERAT;69008;21.16;19;1;2
17813;69389;27;;RUE;DU BOURBONNAIS;69009;12.27;13;1;2
17814;72181;81;;RUE;DE LAIGNE;72100;54.14;54;3;2
17815;73150;5734;;;IMM L AGATE;73210;21.52;22;1;2
17816;73150;5628;;RES;LA LICORNE IV;73210;27.08;27;2;2
17817;73307;5329;;RES;LES LUMIERES DE NEIGE II;73450;39.88;39;3;2
17818;73307;5313;;RES;LE CARIBOU I;73450;27.51;27;2;2
17819;74010;7;;RUE;DU QUART D AMONT;74960;71.58;71;3;2
17820;74056;1247;;RTE;COUTTET CHAMPION;74400;51.19;63;4;2
17821;74208;734;;AV;DU DOCTEUR JACQUES ARNAUD;74480;94.1;97;3;2
17822;74243;2;;RTE;DES VIGNES;74160;28.46;32;1;2
17823;75101;8;;RUE;SAINT HYACINTHE;75001;139.9;143;4;2
17824;75102;75;;BD;DE SEBASTOPOL;75002;56.89;47;3;2
17825;75103;60;;RUE;DU VERTBOIS;75003;31.57;27;2;2
17826;75103;14;;RUE;DE LA CORDERIE;75003;57.97;54;3;2
17827;75103;97;;RUE;DE TURENNE;75003;56.78;55;3;2
17828;75106;35;;RUE;DE SEINE;75006;17.08;17;1;2
17829;75107;26;;RUE;VANEAU;75007;34.44;41;2;2
17830;75108;17;;RUE;DE LA TREMOILLE;75008;50.28;52;2;2
17831;75108;17;;RUE;DE CASTELLANE;75008;49.51;65;3;2
17832;75110;210;;RUE;DU FBG ST MARTIN;75010;10.1;15;1;2
17833;75111;42;;RUE;DE LA FOLIE MERICOURT;75011;30.28;30;2;2
17834;75112;14;;RUE;GOSSEC;75012;27.8;28;2;2
17835;75112;27;;AV;LEDRU ROLLIN;75012;76.72;84;3;2
17836;75113;69;;RUE;DUNOIS;75013;46.02;46;2;2
17837;75113;36;;RUE;DU MOULIN DES PRES;75013;29.64;29;1;2
17838;75113;16;;RUE;DES RECULETTES;75013;43.88;44;2;2
17839;75115;16;;PL;ADOLPHE CHERIOUX;75015;20.7;19;1;2
17840;75115;71;;RUE;DU THEATRE;75015;73.37;72;4;2
17841;75116;117;;BD;MURAT;75016;86.55;100;3;2
17842;75116;24;;RUE;CLAUDE LORRAIN;75016;129.06;129;4;2
17843;75116;78;;RUE;MICHEL ANGE;75016;53.8;53;3;2
17844;75116;1;;VLA;CHANEZ;75016;63.01;70;2;2
17845;75116;11;;RUE;RENE BAZIN;75016;89.59;75;5;2
17846;75117;5;B;PAS;DOISY;75017;25.82;27;1;2
17847;75117;136;;BD;MALESHERBES;75017;78.85;77;4;2
17848;75117;10;;RUE;SAUSSURE;75017;32.07;30;2;2
17849;75118;15;;RUE;JACQUES KABLE;75018;44.51;53;3;2
17850;75119;9;;AV;DE LAUMIERE;75019;37.45;35;3;2
17851;75120;31;;RUE;DES ENVIERGES;75020;73.51;72;4;2
17852;76164;9001;;LOT;BOIELDIEU;76490;87.88;66;3;2
17853;76498;9020;;RUE;PAUL LANGEVIN;76140;67;59;4;2
17854;76540;18;;RUE;SAINT GERVAIS;76000;30.64;23;1;2
17855;76540;79;;QUAI;DU HAVRE;76000;40.4;44;2;2
17856;76540;55;;RUE;BEAUVOISINE;76000;40.52;41;1;2
17857;76540;21;;RUE;DES CHAMPS MAILLETS;76000;39.5;39;2;2
17858;76540;42;;RPE;BEAUVOISINE;76000;36.96;36;1;2
17859;76540;11;;RUE;LOUIS RICARD;76000;26.98;30;1;2
17860;77237;70;;RUE;DE TOURNAN;77600;69.79;69;3;2
17861;77249;2;;RUE;DE MONTIGNY;77150;131.9;114;6;1
17862;77251;16;;PL;DU CADRAN SOLAIRE;77127;54.37;54;2;2
17863;77284;16;;RUE;NOEFORT;77100;48.73;48;2;2
17864;77373;1;B;RUE;LAZARE CARNOT;77340;61.11;71;3;2
17865;77407;132;;RUE;DU CLOS BERNARD;77310;104.34;115;5;1
17866;77468;31;;ALL;DU VIVIER;77200;99.95;85;4;1
17867;78123;760;;RUE;CLAUDE MONET;78955;29.26;30;2;2
17868;78172;10;;RUE;DES CEDRES;78700;72.6;73;4;1
17869;78172;2;;ALL;DES ARCADES;78700;62.28;62;3;2
17870;78208;12;;RES;LA CHAPELLE;78990;99.16;100;5;2
17871;78208;1;;RUE;DE COPENHAGUE;78990;32.5;32;1;2
17872;78517;33;;RUE;D ANGIVILLER;78120;49.54;30;3;2
17873;78517;15;;RES;GD VENEUR RUE G LENOTRE;78120;76.48;80;3;2
17874;78517;45;;RUE;RAYMOND PATENOTRE;78120;69.48;71;3;2
17875;80533;40;;ESP;DU GENERAL LECLERC;80350;89.87;100;3;2
17876;80685;15;;RUE;SAINT MEDARD;80700;46.9;47;2;2
