id_commune;population_municipale;population_comptee_a_part;population_totale
01374;1871;45;1916
01375;782;20;802
01376;3962;39;4001
01378;2645;54;2699
01379;760;11;771
01380;632;13;645
01381;921;18;939
01382;279;2;281
01383;1562;21;1583
01384;2188;33;2221
01385;985;23;1008
01386;1127;66;1193
01387;256;3;259
01388;1102;9;1111
01389;1834;43;1877
01390;1246;21;1267
01391;271;8;279
01392;656;27;683
01393;544;5;549
01396;977;13;990
01397;978;19;997
01398;1421;17;1438
01399;2107;51;2158
01400;139;3;142
01401;2167;71;2238
01402;652;20;672
01403;1295;41;1336
01404;135;2;137
01405;1280;29;1309
01406;174;1;175
01407;1002;18;1020
01408;661;12;673
01410;300;7;307
01411;273;6;279
01412;595;12;607
01415;499;6;505
01416;1014;11;1025
01418;1087;27;1114
01419;6021;176;6197
01420;1690;8;1698
01421;729;16;745
01422;1355;36;1391
01423;1124;21;1145
01424;1776;43;1819
01425;288;7;295
01426;2538;59;2597
01427;6920;164;7084
01428;126;1;127
01429;707;13;720
01430;619;12;631
01431;1227;30;1257
01432;323;2;325
01433;313;4;317
01434;472;10;482
01435;2157;69;2226
01436;481;11;492
01437;223;5;228
01439;99;4;103
01441;734;18;752
01443;4978;95;5073
01444;1196;17;1213
01445;615;21;636
01446;1548;37;1585
01447;1342;32;1374
01448;389;8;397
01449;759;14;773
01450;3717;67;3784
01451;6595;150;6745
01452;1132;24;1156
01453;710;23;733
01454;1112;21;1133
01456;71;2;73
01457;3181;59;3240
02001;502;11;513
02002;610;8;618
02003;1021;24;1045
02004;182;5;187
02005;380;8;388
02006;262;9;271
02007;122;1;123
02008;294;4;298
02009;534;6;540
02010;173;4;177
02011;1138;54;1192
02012;71;0;71
02013;386;9;395
02014;729;23;752
02015;72;1;73
02016;216;9;225
02017;323;4;327
02018;2574;53;2627
02019;362;5;367
02020;455;8;463
02021;84;3;87
02022;403;6;409
02023;102;3;105
02024;51;0;51
02025;367;2;369
02027;214;7;221
02028;2606;60;2666
02029;354;12;366
02030;257;4;261
02031;661;6;667
02032;253;4;257
02033;104;2;106
02034;121;4;125
02035;280;9;289
02036;72;1;73
02037;1386;30;1416
02038;59;0;59
02039;173;3;176
02040;180;3;183
02041;807;15;822
02042;384;2;386
02043;65;1;66
02044;25;0;25
02046;557;9;566
02047;108;5;113
02048;133;4;137
02049;739;13;752
02050;323;2;325
02051;391;6;397
02052;135;6;141
02053;571;6;577
02054;461;4;465
02055;88;2;90
02056;179;1;180
02057;1406;18;1424
02058;856;10;866
02059;2714;28;2742
02060;257;7;264
02061;246;7;253
02062;137;4;141
02063;378;8;386
02064;3832;53;3885
02065;600;13;613
02066;196;2;198
02067;210;5;215
02068;88;4;92
02069;105;2;107
02070;445;12;457
02071;658;15;673
02072;186;2;188
02073;670;4;674
02074;593;10;603
02075;195;2;197
02076;152;3;155
02077;379;9;388
02078;163;3;166
02079;149;0;149
02080;333;9;342
02081;434;8;442
02082;110;0;110
02083;750;15;765
02084;257;5;262
02085;1015;25;1040
02086;1006;11;1017
02087;34;1;35
02088;92;3;95
02089;1148;21;1169
02090;207;10;217
02091;95;1;96
02093;1298;59;1357
02094;464;9;473
02095;5686;78;5764
02096;197;3;200
02097;256;2;258
02098;379;14;393
02099;221;5;226
02100;138;0;138
02101;192;5;197
02102;191;6;197
02103;1339;16;1355
02104;99;4;103
02105;196;2;198
02106;810;12;822
02107;107;4;111
02108;159;4;163
02109;475;10;485
02110;2235;25;2260
02111;721;11;732
02112;553;13;566
02114;1563;37;1600
02115;190;6;196
02116;147;1;148
02117;68;0;68
02118;129;2;131
02119;327;6;333
02120;196;6;202
02121;240;4;244
02122;54;1;55
02123;301;5;306
02124;651;10;661
02125;193;11;204
02126;455;5;460
02127;192;5;197
02128;1475;47;1522
02129;18;0;18
02130;194;7;201
02131;1861;42;1903
02132;194;3;197
02133;404;9;413
02134;862;18;880
02135;1157;17;1174
02136;128;3;131
02137;160;0;160
02138;200;3;203
02139;442;5;447
02140;456;7;463
02141;1778;79;1857
02142;253;5;258
02143;185;6;191
02144;144;3;147
02145;545;10;555
02146;94;1;95
02148;255;2;257
02149;62;2;64
02150;63;0;63
02151;116;3;119
02152;89;0;89
02153;764;20;784
02154;365;7;372
02155;166;5;171
02156;257;1;258
02157;836;23;859
02158;273;2;275
02159;295;2;297
02160;544;12;556
02162;291;8;299
02163;2585;42;2627
02164;325;7;332
02165;1654;26;1680
02166;356;9;365
02167;890;14;904
02168;15254;362;15616
02169;84;0;84
02170;125;0;125
02171;88;1;89
02172;252;9;261
02173;11653;419;12072
02174;829;16;845
02175;161;4;165
02176;206;3;209
02177;139;2;141
02178;106;2;108
02179;385;8;393
02180;721;14;735
02181;79;1;80
02182;117;3;120
02183;185;1;186
02184;351;5;356
02185;390;15;405
02186;1351;45;1396
02187;1134;15;1149
02188;147;4;151
02189;350;8;358
02190;518;12;530
02191;523;5;528
02192;371;7;378
02193;65;1;66
02194;186;8;194
